바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
60여개 음반 기획사 및 제작사가 불법 음원을 배포, 공유 하+ㄴ네티즌 2천707명 및 이를 방치하+ㄴ NHN 주식회사를 상대로 1일 서울중앙지검에 고소장을 접수하었다 .	O O O O O O O O O O O O O O ORG-B O O O ORG-B O O O
e-스포츠로 일컫어지는 게임과 록 음악이 함께 어우러지+어 `폭염의 도시' 대구의 8월 하순을 뜨겁게 달구+ㄹ 전망이다 .	O O O O O O O LOC-B O LOC-B O O O O O O
주최 측은 대부분의 게임들이 배경음악으로 록 음악을 삽입하+ㄴ다는 점을 감안, 이틀 동안 야외무대의 경기 중간에 `대구락 밴드 연대' 소속 밴드들의 공연을 넣어 대회 분위기를 고조시키+ㄹ 예정이다 .	O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O
`성기 노출' 사건을 수사 중 이+ㄴ 서울 영등포경찰서는 2일 인디밴드 카우치 멤버들이 범행을 사전에 모의하였다는 정황을 포착, 관련자들을 상대로 진위를 집중 조사 중이다 .	O O O O O O ORG-B O O O ORG-B O O O O O O O O O O O O O
1994년 데뷔 하+ㄴ 3인조 혼성그룹 쿨(김성수, 이재훈, 유리)이 2일 오후 4시 서울리베라호텔에서 해체를 발표하는 공식기자회견을 갖는다 .	O O O O O ORG-B PER-B PER-B O O O LOC-B O O O O O
"13년 만에 여덟 번째 앨범을 들고 돌아오았습니다. 중고 신인이죠. 제가 다시 활동을 시작하였다는 것, 재기를 시작하였다는 것만 알아주 +시었으면 좋겠어요. .	O O O O O O O O O O O O O O O O O O O O O
일본의 3인조 록밴드 '마마기타(MamaGuitar)'가 국내에서 모두 7곡이 수록되+ㄴ 미니앨범 '휴일(休日)'을 내놓았다 .	LOC-B O O ORG-B O O O O O O O O
가수 조용필이 23일 오후 6시 평양시 유경정 주영체육관에서 단독 콘서트를 마련하 +ㄴ다. 남한가수의 북한 단독 콘서트는 2002년 9월 27일 평양의 동평양 대극장에서 열리었던 이미 자의 콘서트 이후 두 번째 +이다 .	O PER-B O O O LOC-B LOC-B O O O O O LOC-B LOC-B O O O O O LOC-B LOC-B O O O O O O O O O O
몸에 착 달라붙는 노란색 옷에 흰색 하이힐을 신은 줄리엣 루이스가 길+ㄴ 금발머리카락과 카리스마로 350여명의 관객을 휘어잡았다 .	O O O O O O O O PER-B O O O O O O O O
그의 허스키 하+ㄴ 낮은 목소리는 공연장을 가득 채우어 +가았고 관객들도 서서히 줄리엣 루이스의 눈빛과 표정, 음악에 빠지+어들었다 .	O O O O O O O O O O O PER-B O O O O O O
최근 연합뉴스와의 인터뷰에서 "펑크록은 나와는 아주 잘 어울리는 음악이고 그것+ㄹ부인 하+ㄹ 수 있는 사람은 많지 않을 것"이라고 +였던 그가 펑크록 밴드 보컬로서 충분하+ㄴ 자질을 갖추었다는 점도 확인 하+ㄹ 수 있었다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
신해철"생방송 음악 프로그램 폐지 하자 .	PER-B O O O O O
프랑스의 보컬리스트 클레망틴이 프랑스 명곡을 다시 부르어 수록 하+ㄴ새 앨범 '메이드 인 프랑스'가 국내에 발매되었다 .	LOC-B O PER-B LOC-B O O O O O O O O LOC-B O O O
앨범 프로듀서를 맡기도 +였던 베+ㄴ 시드란(BenSidran)과의 듀엣곡 '파리스 워크(Paris Walk)'도 만나 +ㄹ 수 있다. 클레망틴의 앨범 여러 장을 이베스트 앨범 한 장으로 만나 +아보는 것은 어떻 +ㄹ까 .	O O O O PER-B PER-B O O O O O O O O PER-B O O O O O O O O O O O O O
앞서 +어 경찰은 "함께 공연하었던 출연자와 동료 3명이 경찰에서 카우치 멤버들이 공연 3일 전 `우리가 생방송에서 옷을 벗고 한 번 난장판을 만들겠다'는 말을 +였다"고 밝히었다 .	O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O
3일 일본에서 발매하+ㄴ 신승훈의 정규 1집 음반 '미소속에 비치+ㄴ 그대'가 발매 당일 오리콘 데일리 음반 차트 15위에 오르았다 .	O LOC-B O PER-B O O O O O O O O O O O O O O O
신승훈은 오리콘과의 인터뷰에서 "어떤 곡을 넣을까 2개월 정도 고민하였다 .	PER-B O O O O O O O O O
또 현철과 최진희, 금방 울 자매, 김수희, 김상배, 조항조 등 인기가수들이 대거 출연하+여 축하공연을 펼치고, 사회는 이상 벽이 맡을 계획이다 .	O PER-B PER-B O O O PER-B PER-B PER-B O O O O O O O O O O O O
경찰은 카우치 멤버 신모(27)씨 등 2명이 "공연 전에 사전에 공모하+ㄴ 것은 사실"이라고 시인하+ㄴ 뒤 "그냥 재미삼아 장난삼아 옷을 벗었고 우리의 음악을 일반 대중들에게 알리기 위하+여서 +이었다"고 말하였다고 밝히었다 .	O ORG-B O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
경찰은 또 "청소년에 악영향을 끼치는 유사 행위 예방에 주력하겠다"면서 "홍대 주변 등 불건전하고 퇴폐적 이+ㄴ 공연장 및 업소에 대하+여서도 수사를 확대하겠다"고 말하였다 .	O O O O O O O O O LOC-B O O O O O O O O O O O O O
도메인은 1986년 기타리스트 악셀리트(Ax elRitt)와 베르니콜베(BernieC olbe) 등을 중심으로 결성되었다. 이후 1992년 밴드는 휴지기에 들어가 +았고 지나 +ㄴ 2001년 재결성과 함께 새롭ㄴ 앨범을 내놓았다 .	ORG-B O O PER-B O PER-B O O O O O O O O O O O O O O O O O O O
가수 전인권이 건강 악화로 5일로 예정되+ㄴ'2005 서울뮤직페스티벌'에 불참하+ㄴ다 .	O PER-B O O O O O O O
`성기 노출' 사건을 일으키+ㄴ 인디밴드 카우치의 멤버 신모(27)씨와 오모(20)씨가 5일 오전 서울남부지방법원에서 영장실질심사를 받았다 .	O O O O O ORG-B O PER-B PER-B O PER-B ORG-B O O O
11개월 만에 영상으로 모습을 드러내 +ㄴ 서태지는 "뭐 +이+ㄴ가에 미치+ㄴ다는 것 자체가 행복"이라며 "창조적이+ㄴ 마니아들이 세계문화를 제패하+ㄹ 수 있기를 바라+ㄴ다"고 축사를 전하였다. 또 "더 밝은 미치+ㄴ 세상을 꿈꾸 +ㄴ다"고 덧붙이었다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O
라이브클럽 페스트, 럭스ㆍ스 컹크 헬 공연 취 .	O O PER-B O O O O O
경기도 동두천시는 `제7회 동두천록 페스티벌'을 오는 20일부터 이틀간 종합운동장 보조경기장 특설무대에서 개최 하+ㄴ다고 6일 밝히었다 .	ORG-B O O O O O O O LOC-B O O O O O O O
god, 윤도현 밴드, 성시경, 김종국 등 인기가수들이 총출동하는 한여름 밤의 콘서트가 8일 전북 무주 덕유산에서 열리+ㄴ다 .	ORG-B ORG-B O PER-B PER-B O O O O O O O LOC-B LOC-B LOC-B O O
재즈 뮤지션 팻 메스니(PatMetheny)의 1986년 작 '송엑스(SONGX)' 앨범이 발매 20주년을 기념 하+여 본래 모습을 되찾아 발매되+ㄴ다 .	O O PER-B PER-B O O O O O O O O O O O O O
경매는 방송 직후부터 13일까지 홈페이지(tv.sbs. co.kr/tvstore)에서 진행되+ㄴ다 .	O O O O O O O O
KCM은 '스마일어게인'으로 김종국과 나란히 3주째 2위를, '너에게 전하는 아홉 가지 바래+ㅁ'으로 지난주에잇어 10위를 지키었다 .	PER-B O PER-B O O O O O O O O O O O O
3.이 여름서머(쿨 .	O ORG-B O
9.그녀의 남자에게 (김종국 .	O O PER-B O
15.패션(쥬얼리 .	ORG-B O
대표적 이+ㄴ 출연진은 영화감독 박찬욱과 강우석, 배우 문소리 등이다 .	O O O O PER-B PER-B O PER-B O O
'헬…'을 잇을 이번 DVD에는 세계 순회공연 '페어 월 1투어' 중 지난해 호주 멜버른에서 가지+ㄴ 공연이 담기 +어 있다.'TheLongRun'으로 시작하+여 2시간 30분 동안 30곡을 들려 주+ㄴ다.'TakeItEasy ', 'NewKidI nTown'부터 'HotelCalifornia', 마지막 곡 'Des perado'까지 주옥같은 히트곡이 이어 지+ㄴ다 .	O O O O O O O O O O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O
탕 사장은 최근 CNN 프리랜서기자와의 인터뷰에서 홍콩 경제를 책임지+ㄴ 자신의 업무와 인생관, 가정사 등을 솔직히 털어놓으며 클래식을 좋아하는 자신과 한국 음악을 즐기+ 어듣는 딸과의 `불협화음'을 소개하였다고 홍콩 문회보(文匯報)가 6일 보도하였다 .	PER-B O O ORG-B O O LOC-B O O O O O O O O O O O O LOC-B O O O O O O LOC-B O O O O
섬유 재벌 출신의 탕 사장은 지나 +ㄴ 2003년 4월 재정사장에 임명되+ㄴ 후 홍콩 경제 회복을 성공적으로 이끌어 +오았다는 평을 듣었으며 일가가장쩌민(江澤民) 전 주석 등 중국 지도부와 절친하+ㄴ 관계+이어서 유력 하+ㄴ 행정장관 후보로 거론되고 있다 .	O O O PER-B O O O O O O O O LOC-B O O O O O O O PER-B O O O ORG-B O O O O O O O O O O
한편 4조의 앙골라와 나이지리아는 1-1로 승부를 가리지 못하+ㄴ 채 나란히 4승 3무 1패, 승점 15로 조 1, 2위를 지키었다 .	O ORG-B ORG-B ORG-B O O O O O O ORG-B O O O O O O O O O
반면 A조의 일본은 단 1승도 거두지 못하고도(2무1패 .	O ORG-B ORG-B O O O O O
이후 모로코와 칠레를 각각 1-0으로 꺾었다 .	O ORG-B ORG-B O O O O
공교롭게도 이 대회에서 +ㄴ D조에 속하였던 일본이 브라질, 나이지리아와 함께 2승 1패, 승점 6으로 어깨를 나란히 +였지 .	O O O O ORG-B O ORG-B ORG-B ORG-B O O O O O O O O O
AGB닐슨 미디어 리서치의 집계에 따르면 SBSTV로 중계되+ㄴ한국과 브라질의 경기는 42.2%의 가구시청률을 나타내 +었다 .	ORG-B O O O O O ORG-B ORG-B O O O O O O
스페인 현지 언론에 따르면 플로렌티노 페레스 레알 마드 리드 회장은 호비뉴의 영입 조건으로 1천800만 유로를 지불하+ㄹ의사가 있다고 19일(이하 한국시간) 밝히었다 .	LOC-B O O O PER-B O O O O O PER-B O O MNY-B O O O MNY-B LOC-B O O
김호감독, 40대 제자들에게 '뻥 축구'하지 말+ .	PER-B O O O O O O
김 감독은 "(체력을 비축하기 위하+여)가급적 뛰지 말며 짧은 패스를 빠르게 계속 하+여전진하라"며 "많이 달리 +ㄹ 수 있는 친구들이 몇이나 있겠나" .	PER-B O O O O O O O O O O O O O O O O O O O O
체형에 세월의 무게가 역력하게 나타나 +ㄴ 제자들의 체력을 걱정하던 김 감독은 경기 전 스태프를 통하+여 모리 감독에게 선수 교체를 수시로 하+ㄹ 수 있고 교체되었던 선수도 다시 뛰+ㄹ 수 있도록 제안하기도 .	O O O O O O O O O PER-B O O O O O PER-B O O O O O O O O O O O O O O O
'레알' 수원 삼성이 기적 같은 역전승으로 길고 길+ㄴ 무승터널을 빠져나오았다 .	O ORG-B O O O O O O O O O
전반 10분 박동혁의 페널티킥골과 23분 정종관의 헤딩 골로 전반을 0-2로 뒤지+ㄴ 채 마치 +ㄴ수원은 후반'이적생(울산 출신) '전재운을 키커로 투입 하+여반전을 노리었다 .	O O PER-B O O PER-B O O O O O O O ORG-B LOC-B O PER-B O O O O O
부산 아이파크는 뽀뽀의 정교하+ㄴ크로스와 패스를 '흑상어' 박성배와 루시아노가 머리와 오른발로 연결하+여성 남일화를 2-0으로 꺾고 4승2무(승점 14)를 기록, 7경기 무패의 선두인천유나이티드(승점 17)에잇어 2위로 올라서 +었다 .	ORG-B O PER-B O O PER-B PER-B PER-B O O O O O O O O O O O ORG-B O O O O O
멕시코, 브라질 격파..일본도 그리스 제 .	ORG-B ORG-B ORG-B ORG-B O O
일본은 후반 31분 '조커' 오구로 마사시의 결승골로 유로 2004 우승팀 그리스를 1-0으로 꺾고 첫 승을 올리었다 .	ORG-B O O PER-B PER-B O O O O O ORG-B O O O O O O
독일은 전반 21분인 카그링스의 선제골에잇어 3분 뒤레나토링 고르의 추가골로 승기를 잡았다 .	ORG-B O PER-B O O O PER-B O O O O O
최 전 감독은 "많은 스승이 계시지만 선생님하고는 지금껏 끈끈 하+ㄴ 사제 관계를 유지하였다"며 "나+에게 기쁘거나 좋은 일이 생기면 조용히 계시었던 반면 역경과 고난에 처하였을 때는 위로 하+여주+시었다. 너무 슬프고 너무 죄스럽다"고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지난해 12월 포항의 지휘봉을 놓을 때도 김 교육감에게 심정을 토로하였다는 최 전 감독은 "운동하느라 수업을 빼먹으면 나중에 따로 가르치+어주+ㄹ만큼 인자하시+ㄴ 참스승이었다"고 회고하였다 .	O O ORG-B O O O PER-B O O O PER-B O O O O O O O O O O O O
수원구단에 따르면 김남일은 지나+ㄴ 15일 팀 닥터와 함께 일본을 방문하+여기초 검진을 받은 뒤 수술 일정을 잡았지만 독일에서 먼저 진료를 받아보는 것+이 좋겠다는 차 감독의 의견에 따르 아일정을 바꾸었다 .	ORG-B O PER-B O O O O O LOC-B O O O O O O O LOC-B O O O O O PER-B O O O O O O
축구협회는 조영철(16.울산 학성고)과 설재문(15.용인 태성고), 조범석(15.신갈고) 등 유망주 3명을 오는 8월부터 내년 6월까지 10개월간 프랑스 1부 리그 FC 메스의 18세 이하 팀에 유학 보내+ㄴ다고 20일 밝히었다.8월 3일 출국 하+ㄹ 예정 .	ORG-B ORG-B O ORG-B O ORG-B O O O O O O O O ORG-B O O O O O O O O O O O O O O O O
국제축구연맹(FIFA)은 지나 +ㄴ 2월 웨일스에서 열리+ㄴ 국제축구평의회 정기회의 때 확정되+ㄴ 새롭ㄴ경기규칙들을 오는 7월 1일부터 시행하기로 하고, 현재 세계 청소년대회에서 시범 적용 중이다 .	ORG-B O O O LOC-B O ORG-B O O O O O O O O O O O O O O O O
안정환(29)이 결국 일본 프로축구(J리그) 요코하마 F.마리노스를 떠나 +ㄴ다 .	PER-B O LOC-B ORG-B ORG-B O O O O
한.일 월드컵이 끝나고 2002년 9월 시미즈S-펄스에 입단하며 일본 무대를 밟은 안정환은 지난해 요코하마로 이적하였고, 올 시즌 9 경기에서 4골을 기록하는 등 모두 72경기를 뛰며 30골을 기록하였다 .	O O O O O ORG-B O LOC-B O O PER-B O ORG-B O O O O O O O O O O O O O O
마르세유에서 지나 +ㄴ 2000년 아스날로이적 하+ㄴ 피레스는 236 경기에 출전, 73골을 기록하는 등 아스날의 전성기를 일구+어내+ㄴ 주인공 .	ORG-B O O O ORG-B O PER-B O O O O O O ORG-B O O O O
컵 대회를 포함하+여8경기무패행진을 잇어가고 있는 1위 인천(5승2무)은 부천을 제물로 선두 굳히기에 나서겠다는 복안 .	O O O O O O ORG-B ORG-B O O O O O O
장외룡 인천감독은 "집중력을 잃어서는 안 되+ㄴ다"며 전화도 받지 않고 오로지 전략 구상에만 몰두하고 있다 .	PER-B ORG-B O O O O O O O O O O O O O
◆22일 프로축구 일정 대전-울산(19시.대전 월드컵) 부천-인천(19시.부천종합) 대구-전북(19시 30분. 대구월드컵) 수원-성남(19시.수원월드컵.SBSSPORTS22 시 녹화) 부산-포항(19시.부산 아시아드. PSB 부산방송생중계) 광주-전남(18시. 광주 월드컵 .	TIM-B O O LOC-B O LOC-B LOC-B O LOC-B TIM-B O O LOC-B O O LOC-B LOC-B LOC-B O O
지난해 10월 대한축구협회의 기탁금 1억원과 송영식 대한축구협회 부회장이 기부하+ㄴ 3천만원을 '종자돈'으로 시작하+ㄴ 유소년 축구재단은 오는 8월 유망주 3명을 프랑스 1부 리그 FC 메스18세 이하 팀에 유학을 보내기로 하는 등 활발하+ㄴ 활동을 벌이고 있다 .	O ORG-B ORG-B O ORG-B PER-B ORG-B O O MNY-B O O ORG-B O O O O MNY-B LOC-B ORG-B O O ORG-B O O O O O O O O O O O
특히 울산과 국민은행은 4조에 편성되 +어한 장의 4강 진출 티켓을 놓고 치열 하+ㄴ 대결을 벌이+ㄹ 것으로 보이+ㄴ다 .	O ORG-B ORG-B ORG-B O O O ORG-B O O O O O O O O O O
초등학교 전국 축구대회는 경주시와 한국초등학교 축구연맹, ㈜대교가 공동 주최 하+ㄴ다 .	O O O ORG-B ORG-B O ORG-B O O O O
브라질.독일 8강 격 .	ORG-B O O O
3 연승을 거두며 B조 1위로 16강에 오르+ㄴ 중국의 돌풍은 독일이 막아내 +었다 .	O O O ORG-B O O O ORG-B O ORG-B O O O
인터밀란의 기술감독이 +ㄴ 마르크 브란카는 "베론을 잡는 것은 우리의 1차 목표+이었다. 베론이 계속 우리와 함께 하기+ㄹ 원하+ㄴ다"며 만족감을 나타내 +었다 .	ORG-B O O PER-B O PER-B O O O O O PER-B O O O O O O O O O
이로써 25일 각각 이탈리아와 독일을 꺾고 4강에 먼저 오르+ㄴ 모로코와 브라질과 함께 이날 나이지리아와 아르헨티나가 4강에 오르면서 올해 세계 청소년 축구는 '유럽세의 참패'와 함께 아프리카 축구와 남미 축구의 자존심 대결로 귀결짓게 +었다 .	O O O ORG-B ORG-B O O O O ORG-B ORG-B O O ORG-B ORG-B O O O O O O LOC-B O O LOC-B O LOC-B O O O O O O
네덜란드의 선축으로 시작되+ㄴ 승부차기는 초반 양 팀의 3명의 키커가 모두 골을 성공시키+어 평행선을 긋었다 .	ORG-B O O O O O O O O O O O O O O
◆26일 전 .	O O O
'삼바군단' 브라질이 두 골을 몰아치+ㄴ아드리아누(23.인 터밀란)의 맹활약을 앞세우어 독일을 꺾고 2005 컨페더 레이션스컵 축구대회 결승에 오르았다 .	ORG-B ORG-B O O PER-B O O O ORG-B O O O O O O O O
브라질이 세 번째이자 마지막 리드를 잡은 것 +ㄴ치열 하+ㄴ 접전이 이어지던 후반 31분 .	ORG-B O O O O O O O O O O O O O
△2005 컨페더 레이션스컵 준결 .	O O O O O
한국은 북한(7위), 중국(8위), 일본(11위.1천909점), 대만(23위.1천741점)에잇어 26위(1천725점)를 차지하+여아시아권에서 5위권으로 밀리었다 .	ORG-B ORG-B ORG-B ORG-B ORG-B O LOC-B O O O
잉글랜드의 축구 스타 '원도 보이' 마이클 오언(25.레알 마드리드)이 고교 동창생과의 오랜 연예 끝에 마침내 결혼에 골인+하였다 .	LOC-B O O PER-B O PER-B ORG-B O O O O O O O O O O
소속팀을 독일 프로축구 1부 리그로 올려놓은 '아우토반' 차두리(25.프랑크푸르트)가 2005∼2006 시즌 준비를 위하+여독일로 떠나 +았다 .	O LOC-B O ORG-B O O PER-B ORG-B O O O LOC-B O O O
프로축구 성남, 경기 취소 번복해프 .	O ORG-B O O O O
하지만 성남으로서 +ㄴ무작정 경기를 미루+ㄹ 수도 없는 노릇이었다.K리그는 다음달 10일 전기 리그 마지막 경기까지 3∼4일 간격으로 빠듯하게 이어 지+ㄴ다 .	O ORG-B O O O O O ORG-B O O O O O O O O O O O O
영국 런던에서 발행되는 석간 신문이 브닝스탠더드가 맨체스터 유나이티드와 입단 계약을 체결하+ㄴ 박지성에 대하+여"끊임없이 연습을 하는 성실 그 자체"라고 격찬하면서 영국의 축구선수들에게 "박지성을 본받아라"라고 충고하였다 .	LOC-B LOC-B O O O O ORG-B O O O O PER-B O O O O O O O LOC-B O PER-B O O O
FIFA, 월드컵 출전 선수에 '건강증명서' 제출 의무 .	ORG-B O O O O O O O
박지성, 힘들+ㄴ '주전 경쟁' 예 .	PER-B O O O O O
지나+ㄴ 1999년 8월 맨체스터 유나이티드에 둥지를 틀+ㄴ포춘은 입단 초기 라이언 긱스와 경쟁하며 맹활약을 펼치었지만 최근 눈에 띄는 활약을 펼치지 못하고 있다 .	O O O ORG-B O O PER-B O O PER-B O O O O O O O O O O O O
그는 이어 "맨체스터 유나이티드로 이적 하+ㄴ 브라질의 클레베르손이 박지성에게는 좋은 본보기가 되+ㄹ 것"이라며 "박지성은 에인트 호벤에서 좀 더 머무르었어야 +였다"고 덧붙이었다 .	O O ORG-B O O O ORG-B PER-B PER-B O O O O PER-B O O O O O O O O
'터프가 이' 김남일(28.수원)이 골절되+ㄴ새끼발가락 수술을 위하+여독일로 출국하였다 .	O O ORG-B O O LOC-B O O
'지성아 축구화라도 집어 던지+어야 하+여! .	O O O O O O
홍명보는 "지성이는 그때도 성실하고 착하+ㄴ 선수+이었을 뿐만 아니라 팀에 해가 되는 플레이는 절대 하지 않는 선수+이었다"고 당시를 회고하였다 .	PER-B PER-B O O O O O O O O O O O O O O O O O
'미니월드컵' 2005세계 청소년(U-20) 축구선수권대회 우승컵은 아르헨티나와 나이지리아의 격돌로 가려지게 +었다 .	O O O O O ORG-B ORG-B O O O O
브라질 이후반 30분 문전혼전 중 파비우산토스의 크로스를 헤나투가 헤딩으로 꽂아 넣어 동점을 만들어 경기는 연장에 돌입하는 듯 +였다 .	ORG-B O O O O PER-B O PER-B O O O O O O O O O O O
이 단장은 "내년 시즌을 대비 하+여 외국인 지도자와 국내 지도자들 가운데 새 감독을 찾아 보+ㄹ 것"이라며 올 시즌을 마치 +ㄴ 뒤 정식 사령탑을 영입하겠다는 의사를 전하였다 .	PER-B O O O O O O O O O O O O O O PER-B O O O O O O O O O O O
브라질 경찰은 마약을 밀거래하다 현장에서 붙잡히 +어3주간 반마약본부에서 조사를 받은 에디뉴가 일반 교도소에서는 라이벌 갱단의 살해 위협에 노출되+ㄹ 수 있어 상파울로주에 있는 안전하+ㄴ교도소로 이송하였다고 로이터통신이 29일(이하 한국시간) 보도하였다 .	LOC-B O O O O O O ORG-B O O PER-B ORG-B O O O O O O O O LOC-B O O O O O LOC-B O O
부산, 9경기 무패 단독 선 .	ORG-B O O O O O
부산은 지난달 8일 컵 대회 대구FC전 2-1 승리 이후 10경기 연속 무패기록도 잇어+가았다 .	ORG-B O O O O O O O O O O O O O
광주는 후반 43분 정윤성이 한 골을 만회하였으나 전세를 뒤집기에는 힘이 부치었다 .	ORG-B O O PER-B O O O O O O O O
전남 드래곤즈와 대전시티즌은 이정운과 레안드롱이전, 후반 한 골씩 주고받아 1-1로 비기었다 .	ORG-B O ORG-B PER-B PER-B O O O O O O O
하지만 홍 이사는 이날 조용형의 플레이에는 만족 하+여+였다 .	O PER-B O O PER-B O O O O
홍 이사는 "수비는 3~4명의 문제가 아니다. 미드필드부터 전체적 이+ㄴ 수비의식이 필요하다"고 전제하+ㄴ 후 "전반적 이+ㄴ팀워크가 잘 이루어 지+어야 강고 하+ㄴ 수비를 구축 하+ㄹ 수 있다"고 진단하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
2003년 한 시즌 최다골인 28골을 비롯하+여 2000년부터 지난해까지 5년 연속 두 자리 수 득점을 잇어가고 있는 김도훈은 올 시즌에는 컵 대회에서 4골, 정규리그에서 3골을 기록 중이다 .	O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O
피스컵을 대비 하+여 점점 좋아지는 것 같다"며 체력에 대하+여서는 "90분이든 45분이든 최선을 다하는 것이 중요하다 .	O O O O O O O O O O O O O O O O
이번 계약에는 ITV.BBC(영국), ARD/ZDF.프리미어(독일), TF1(프랑스), TVE(스페인), RAI.스카이(이탈리아) 등 거대 방송사가 참여하였다 .	O O LOC-B LOC-B LOC-B LOC-B LOC-B O O O O O
2위는 5만8천405표의 '시리우스'이 관우(27.대전)가, 3위는 5만8천383표를 얻은 박주영이 차지하였다 .	O O PER-B ORG-B O O O PER-B O O
'삼바 축구' 브라질이 남미 축구의 '라이벌' 아르헨티나를 꺾고 8년 만에 컨페더 레이션스컵 정상에 오르았다 .	ORG-B O ORG-B LOC-B O O ORG-B O O O O O O O O
전반을 2-0으로 마치 +ㄴ 브라질은 후반: 초반부터 또다시 아르헨티나의 골문을 압박하였다 .	O O O O ORG-B O O O ORG-B O O O
아드리아 누도 MVP를 검머쥔 뒤 "떨리면서도 자랑스럽다. 내년 월드컵 준비를 위하+ㄴ 중요하+ㄴ 승리를 거두었다"고 강조하였다 .	O O O O O O O O O O O O O O O O
호주 2006년부터 AFC 회원국, FIFA 공식 승 .	ORG-B O ORG-B O ORG-B O O O
오세아니아주는 월드컵 본선 티켓 1장을 놓고 남미 예선 5위팀과 플레이오프를 치르어야 해 월드컵 본선 진출이 쉽지 않은 상황이라 호주는 지나 +ㄴ 4월 OFC에 연맹 탈퇴를 요청, 회원국들로부터 만장일치로 동의를 얻어내 +ㄴ 뒤 AFC 가맹을 요구하+여+았다 .	ORG-B O O O O O LOC-B O O O O O O O O O O O ORG-B O O O ORG-B O O O O O O O O O ORG-B O O O
몬스의 이적료는 발표되지 않았지만 500만 유로(약 62억원) 정도로 알려지었다 .	PER-B O O O MNY-B O MNY-B O O O
네덜란드 프로축구에 인트 호벤이 일본 축구 대표팀의 나카타 히데토시(28.피오 렌티나)의 영입에 관심을 드러내+었다 .	LOC-B O O O ORG-B O O PER-B O O O O O O
골절되+ㄴ 오른쪽 새끼발가락 중족골치료를 위하+여독일로 향하었던 김남일(28.수원)이 성공적으로 수술을 마치었다 .	O O O O LOC-B O ORG-B O O O O
호비뉴는 30일(한국시간) 독일 프랑크푸르트에서 열리+ㄴ 2005 컨페더레이션스컵 축구대회 결승을 마치고 브라질 방송과의 인터뷰에서 "레알 마드리드에서 뛰기를 바라+ㄴ다.이 미레알 마드리드에 의사를 전달하였다.나+의 축구 경력에서 도움이 되+ㄹ 것"이라고 말하였다고 로이터 통신이 보도하였다 .	PER-B LOC-B LOC-B LOC-B O O O O O O LOC-B O O ORG-B O O O ORG-B O O O O O O O O O O O O O
호비뉴는 또 지난해 브라질리그에서 37경기 동안 21골을 작렬시키는 빼어나 +ㄴ 골 결정력을 뽐내며 '2004년 올해의 브라질 선수' 상을 수상하였다 .	PER-B O O ORG-B O O O O O O O O O O O ORG-B O O O O
박주영의 소속팀 FC서울이 구단 웹사이트(www.f cseoul. com)를 통하+여지나 +ㄴ 9일부터 실시 중 이+ㄴ '박주영 친필 사인언더셔츠'온라인 경매입찰가가 종료를 하루 남기+ㄴ 30일 현재 150만원까지 치솟은 것 .	PER-B O ORG-B O O O O O O O O O O PER-B O O O O O O O O MNY-B O O O
손학규 경기도지사가 지나 +ㄴ 27일 '박지성 路' 개통식 축사에서 "'애'의 이름을 붙이어 길을 내는 것은 유례가 없는 일"이라고 말하였다가 네티즌들의 항의로 곤혹스럽ㄴ 입장에 처하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O
알파이외 잘란, J리그에서 방 .	PER-B O ORG-B O O
외 잘란은 지나 +ㄴ 2003년 잉글랜드와의 유로 2004 예선에서도 인기 스타 데이비드 베컴(잉글랜드)과 마찰을 빚는 등 그라운드의 '악동' 노릇을 톡톡히 +였다 .	O O O O O ORG-B O O O O O PER-B ORG-B O O O O O O O O O
청소년 대표팀 수비수 이강진(20.도쿄 베르디)은 감바오사카전에 풀타임 출전하였으나 팀은 아라우조에게 해트트릭, 오구로 마사시에게 2골을 내주+어1-7로 대패하었다 .	O O O ORG-B O O O O O PER-B O PER-B O O O O O
하지만 아틀레티코 마드리드는 최근 잉글랜드 프리미어리그의 명문 구단 첼시로부터 세르비아-몬테네그로 출신의 골잡이 마테야 케즈만(26)을 영입하+ㄴ데 잇어로드리게스와도 계약, 안정환의 마드리드행 가능성은 더욱 희박하여 +지+었다 .	O PER-B ORG-B O ORG-B O O O ORG-B LOC-B O O PER-B O O PER-B O PER-B ORG-B O O O O O
이동국의 득점포가 '개점휴업' 상태에 들어가자 가+ㄹ길 바쁘+ㄴ 포항은 이날 0-0 무승부를 기록, 제자리걸음(3위)을 하며 전기리그에서 자력으로 1위에 오르기는 힘들게 +었다 .	PER-B O O O O O O ORG-B O O O O O O O O O O O O O
