'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
배급사별 점유율(전국 기준)에서는 '마파도'와 '연애의 목적'을 배급하+ㄴ CJ엔터테인먼트가 19.0%로 1위를 차지하였으며 '말아톤', '잠복근무'의 쇼박스(17.9%)와 '공공의 적 2'와 '혈의 누'의 신네마 서비스(17.5%)가 근소하+ㄴ차로 2위와 3위에 오르았다.이밖에 20세기 폭스(10.1%)와 쇼이스트(7.5%), 워너브라더스(6.0%)가 뒤를 잇었다 .	O O O O O O O ORG-B O O O O O ORG-B O O O O O ORG-B ORG-I O O O O ORG-B ORG-I ORG-B ORG-B O O O
5. 알렉산더 소장판(CE)(액션 드라마, 시네마 서비스 .	O O O O O O O
장준환 감독"러 관객은 잔혹 하+ㄴ 장면에서도 태연 .	PER-B LOC-B O O O O O O
장 감독은 또 "한국에서는 미국과 한국 영화를 비롯하+여인기 없는 일본 영화가 주로 상영되는데 유럽영화는 아주 유명 하+ㄴ 감독 작품이+ㄹ 경우에만 극장에서 상영되 +ㄹ 수 있다"면서 "한국의 영화 배급 체제를 바꾸+어야 하+ㄹ 것으로 보+ㄴ다"고 밝히었다 .	PER-B O O LOC-B LOC-B LOC-B O O O LOC-B O O O LOC-B O O O O O O PER-B O O O O LOC-B O O O O O O O O O
2일 일본에서 개봉하+ㄴ영화 '말아톤'은 2-3일 주말 현지 박스오피스에서 5위에 오르며 선전하였다 .	O LOC-B O O O O O O O O O O
부천영화제의 정초신(영화감독) 수석 프로그래머는 이번 영화제 기간 꼭 보+아야 하+ㄹ영화로 7편을 최근 추천하였다 .	O PER-B O O O O O O O O O O O O
마지막으로 가족들이 오순도순보+ㄹ 수 있는 작품 등으로 짜이어 지+ㄴ '패밀리 섹션'의 '우리 개이야기'(일본)가 있다 .	O O O O O O O O O O O O LOC-B O O
그런데 '태풍' 역시 이날을 개봉일로 잡은 것.' 태풍'의 투자ㆍ 배급사 이+ㄴ CJ엔터테인먼트로서도 한국 영화 사상 최대 제작비 이+ㄴ 150억원을 투입하+ㄴ '태풍'을 극장가 대목에 내걸어야 하는 것.이 때문에 12월 15일로 개봉 일자를 못 박았다. '태풍'은 아직 촬영이 끝나지 않았지만 '납기일'에 맞추기 위하+여 후반 작업에 속도를 내+ㄹ 전망이다 .	O O O O O O O O O O O ORG-B LOC-B O O O O O MNY-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
장동건의 매니저 홍의 스타엠엔터테인먼트 대표는 "정말 곤혹스럽다. 두 작품 모두 대작이라 12월 대결을 피하+ㄹ 수 없는데 날짜까지 같으니 하+ㄹ말이 없다"면서 "상황이 변하지 않는 한 관객들이 두 작품 모두 보+아주기+ㄹ기대하는 수밖에 없다"며 안타까워하였다 .	PER-B O PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
빈스는 당시 여자친구+이었던 '에이미'가 자신과 헤어 지+ㄴ 뒤 존과 성관계를 가지었다는 사실을 존에게서 전 하+ 여 듣었지만, 10년 후에 만나 +아서야존이에 이미를 강간 하+ㄴ 것이라고 주장하던 중 모텔에 에이미가 도착하는 것으로 이야기가 전개되+ㄴ다 .	PER-B O O PER-B O O O O PER-B O O O PER-B O O O O O O O PER-B O O O O O O O PER-B O O O O O
이번 연극에는 유씨 외에 극단의 간판 배우 이+ㄴ 김보영(에이미역), 김경식씨(존역)가 함께 출연하+ㄴ다 .	O O PER-B O O O O O PER-B PER-B O O O
원작에서는 할리우드 코미디 스타 벤스 틸러가 알렉스 역을 맡았다 .	O O O O PER-B O PER-B O O O
식당 세척기계의 아들로 '태어나 +ㄴ' 로봇로드니가 발명가가 되기 위하+여로봇 시티에 +가았다가 그곳의 악랄 하+ㄴ 경영자'라챗'의 음모에 맞서 +어싸우+ㄴ다는 내용을 담고 있는 이 애니메이션에서 배한성이 연기하는 '팬더'는 로드니의 친구 중 하나로 일행을 즐겁게 하+여주는 만능 엔터테이너다 .	O O O O O LOC-B O O LOC-B LOC-I O O O O PER-B O O O O O O O O PER-B O PER-B PER-B O O O O O O O O O
캐치온, 스릴러 영화특집 편 .	O O O O O
딸을 납치하+ㄴ 인디언을 추적하는 부녀의 이야기로 토머스에이드슨의 소설'라스트라이드'를 스크린으로 옮기었다 .	O O O O O O PER-B O O O O
대구 독립영화협회는 오는 21일까지 대구 동성아트홀에서 `2005SummerD ONGSUNGA rtcinemaCollection'을 개최 하+ㄴ다 .	LOC-B ORG-I O O LOC-B LOC-I O O O O O O
홍보 사래핑보아는 "영화가 작품에 따르 아서는 90%대의 높은 좌석 점유율을 기록하+ㄹ만큼 인기가 좋아 연장 상영을 결정하였다"고 전하였다 .	O ORG-B O O O O O O O O O O O O O O O O
부천영화제 사무국에 따르면 6일 오후 현재 매진되+ㄴ 작품은 공포물'이웃집 13호', 코믹.난 센스물 '크로마티 고교', 코미디 '우리 개 이야기' 등 일본 만화를 영화 하+ㄴ 작품 3개와 에로티카 특별 전 출품작이+ㄴ '섹스 그리고 그녀' 등이 있다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O O O O O O O
SBSTV 공개 코미디 '웃음을 찾는 사람들'의 '만사마' 정만호가 어린이를 대상으로 하+ㄴ영화의 주인공을 맡았다 .	ORG-B O O O O O PER-B PER-B O O O O O O
전시회 기간에는 영화 홍보사 올댓 시네마의 채윤희 대표와 사진작가 강영호, 이전호, '꽃피는 봄이 오면'의 김혜진 실장 등이 참석하는 세미나 도 마련되 +ㄴ다 .	O O O O ORG-B ORG-I PER-B O O PER-B ORG-I ORG-B ORG-I ORG-I PER-B O O O O O O O O
그동안 비서실 직원들을 위하 +ㄴ 강의에는 황우석 서울대 교수와 홍순직 삼성SDI 부사장 등 전문가들이 강사로 나서 +ㄴ바 있다 .	O O O O O O PER-B ORG-B O PER-B ORG-B O O O O O O O O
7일 직배사 20세기 폭스에 따르면 베크맘 베토브(44, Tim urBekmam betov) 감독은 13일 '나이트워치'의 홍보차내한 하+ㄴ다 .	O O ORG-B ORG-I O PER-B PER-I O O O O O O O O O
이탈리아 뉴시네마의 거장 타비아니 형제의 대표작 두 편이 다음달 12일부터 서울 광화문의 씨네큐브에서 상영되 +ㄴ다 .	LOC-B O O PER-B O O O O O O LOC-B LOC-I LOC-B O O O
영상물 등급위원회의 게임 제공업용 게임물등급분류소위원회 위원 9인 가운데 6인은 7일 홈페이지를 통하+여"최근 한겨레신문의 영등위 관련 보도에 항의하기 위하+ 여사 퇴하+ㄴ다"고 밝히었다 .	ORG-B ORG-I ORG-I ORG-I ORG-I O O O O O O O O ORG-B O O O O O O O O
이에 대하+여영 등위는 "자의적 심의 기준 적용도, 심의위원의 업체 유착 사실도 없으며 일부 위원의 학력기재 오류가 있었지만 등급분류에 전혀 영향이 없었다"며 기사 내용의 대부분을 부인하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
6일 오후 경기 시흥공단.뙤약볕 속에서 리허설이 진행 중이+ㄴ 김래원 주연영화 '미스터 소크라테스'의 촬영 현장에 '높은 분'이 등장하였다. 이 영화의 투자ㆍ 배급을 맡은 롯데엔터테인먼트의 김광섭(59) 대표가 양복 저고리를 벗어 손에 들+ㄴ 채 땀을 뻘뻘 흘리며 현장을 시찰하러 나서 +ㄴ 것 .	O O LOC-B LOC-B O O O O PER-B O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O
그는 이어 "그런데 '천년학'이 생각보다 더디+어 이제시나리오 초고가 나오았는데 그것+이 좀 속도가 나+았으면 좋겠다"며 아쉬워하였다. 아무래도 '천년학'이 롯데의 '얼굴'을 세우어 주+ㄹ 것이라 기대하는 것.실제로 '천년학'이 가동되면 롯데는 그동안의 '가볍+ㄴ' 이미지를 상당히 상쇄하+ㄹ 수 있을 전망이다 .	O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O ORG-B O O O O O O O O O
협약 내용으로는 ▲경기 디지털아트센터 현물 등 투자지원 ▲동국대 제작인력 교류 및 기술개발 ▲싸이더스 픽처스 제작 ㆍ투자유치 ▲팡고엔터토이먼트 제작 등이다 .	O O ORG-B ORG-I O O O ORG-B O O O O ORG-B ORG-I O O ORG-B O O O
제작진은 안성기, 문성근, 박중훈, 김수미 등 연기자들과 영화 제작가협회 김형준 회장, 그리고 대형 매니지먼트사 대표들을 만나 +아 한국영화와 드라마 제작 시스템이나아가 +아야 하+ㄹ 방향과 대안을 듣어보+ㄴ다 .	ORG-I PER-B PER-B PER-B PER-B O O ORG-B ORG-I PER-B O O O O O O O LOC-B O O O O O O O O O
▲영화진흥위원회 남양주종합촬영소는 25-28일 촬영소 내 영상교육관에서 중고등학생들을 대상으로 영화캠프를 마련하 +ㄴ다. 선착순으로 20명이 참석하+ㄹ 수 있으며 참가비는 9만9천원이다 .	MNY-I LOC-B O O O O O O ORG-B O O O O O O O O O O
대종상 감사 삼정회계법인 박성래 본부 .	O O ORG-B PER-B O O
다음은 박 본부장과의 일문일답 .	O PER-B O O O
영화+이라는 대중예술을 놓고 예술이냐 기술이냐를 칼로 두부 자르듯 명확하게 하기는 쉽지 않은 일이지만 '시나리오 집필은 기술이다' +이라는 것은 이 책의 저자 알렉스 엡 스타인의 단언이다 .	O O O O O O O O O O O O O O O O O O O O O PER-B O O O O
로스앤젤레스타임스는 9일 시의회가 영화업계에 타격을 주+ㄹ 수 있는 이 조례를 11일 전체회의에 상정하+ㄹ 계획이라고 보도하였다 .	O O O O O O O O O O O O O O O O
경기도 남양주의 종합촬영소가 소외계층에게 가깝게 다가서는 프로그램을 잇따르 아마련 하+ㄴ다 .	LOC-B LOC-B LOC-B O O O O O O O O
또 소외계층의 어린이와 청소년들을 대상으로 영화의 제작과정과 현장답사의 기회를 주는 '즐겁ㄴ영화교실'도 8월 중 개최 하+ㄹ 계획이다 .	O O O O O O O O O O O O O O O O O
군은 잇어 재경부 소유의 10만 6천85㎡, 산림청 소유의 1만8천148㎡에 이르는 국유재산에 대하+ 여사업안이 확정되는 대로 매입을 추진하+ㄹ 방침이 +ㄴ 것으로 알려지었다 .	O O ORG-B O O O ORG-B O O O O O O O O O O O O O O O
배후에는 미국의 유력 정치인과 결탁 하+ㄴ독점 자본이 있다 .	O LOC-B O O O O O O O
주인공은 아내를 먼저 떠나보내+ㄴ 남편(나카무라 시도)과 엄마를 잃은 아들(다케이아카시) .	O O O O PER-B PER-I O O PER-B O
처음 보+ㄴ 순간부터 주체 하+ㄹ 수 없이 사랑에 빠지+어버리+ㄴ 32살의 이혼녀 문희와 19세의 법적 미성년자 현 .	O O O O O O O O O O O PER-B O O O PER-B O
'주홍글씨', '극장전'의 엄지원이 12월 개봉을 앞두고 촬영 중 이+ㄴ 영화 '야수'(제작 팝콘 필름)에 합류하였다 .	O O PER-B O O O O O O O O ORG-B ORG-I O O
만화에서 뛰쳐나 오+ㄴ영웅 같지 않은 영웅들이 스타워즈의 제다이도, 배트맨도, 그리고 스필버그와 톰 크루즈도 해내지 못하+ㄴ일을 해 내 +었다 .	O O O O O O O PER-B PER-B O PER-B PER-B PER-I O O O O O O
예상대로 '우주전쟁'이 7월 둘째 주말 극장가를 점령하였다 .	O O O O O O O O
가수계의 '디바'인 순이가 영화 '야수와 미녀'(제작십 오필름)에서 재즈바가수로 출연하+ㄴ다 .	O O O O O ORG-B ORG-I O O O
영화 속에서 인순이는 유명 재즈곡 'MyRomance'를 신민아와 함께 부르+ㄴ다 .	O O PER-B O O O PER-B O O O
칼 윤은 그가 주연하+ㄴ 황동혁 감독의 '미러클 마일'이 부천국제영화제 단편 부문에 출품되면서 영화제 공식 게스트로 한국을 찾는다 .	PER-B PER-I O O PER-B O O O O O O O O O O LOC-B O O
'우주전쟁'은 지나 +ㄴ9-10일 서울 107개 스크린에서 29만명을 모으았다. 영화에 대하+ㄴ국내외 평단 의 혹평에도 불구하고 관객을 압도하는 스케일로 극장가에 융단폭격을 날리+ㄴ 것.10일까지 전국 관객수는 143만명(370개 스크린) .	O O O LOC-B O O O O O O O O O O O O O O O O O O O O O O
OCN은 지난달 7일부터 24일 동안 '한국인의 100대 영화음악' 설문조사를 벌이+ㄴ 결과 총득표수 4만1천327표 중 3천955표(9.5%)를 얻은 '타이타닉'이 1위에 오르았다고 11일 밝히었다 .	O O O O O O O O O O O O O O O O O O O O O O
개발도상국의 경제개발 지원을 위하+여 전 세계 25개국에 해외 봉사단 994명을 파견하고 있는 KOICA는 13일 오후 3시 서울 종로구 연건동 KOICA 접견실에서 박찬욱 감독에게 명예 해외봉사단장 위촉장을 전달 하+ㄴ다고 11일 밝히었다 .	O O O O O O O O O O O O LOC-B TIM-I TIM-B TIM-I LOC-B LOC-B LOC-B LOC-B LOC-I PER-B O O O O O O O O O
1893년에 출간되+ㄴ 브람스토커의 소설 '드라큘라 백작'의 모델이 되+ㄴ 주인공 드라큘라는 15세기 실존 인물이라고 하+ㄴ다 .	O O PER-B O PER-B O O O O PER-B O O O O O
'슈렉'류와도 다르고 디즈니 애니메이션도 아니+ㄴ이 영국 애니메이션은 관객들에게 다소 낯설+ㄹ수는 있지만 반면 미국산 애니메이션과는 색다르+ㄴ 재미를 가지고 있다 .	O O ORG-B O O LOC-B O O O O O O O O O O O O O
상영시간 78분 .	O O O
아직 상영 작품은 확정되지 않았으며 주요 영화제 수상작을 중심으로 선정되+ㄹ 예정이다. 행사기간에는 한국영화인들도 초청되+ㄴ다 .	O O O O O O O O O O O O ORG-B O O
일반장편으로 즐겁고 빛나는 청춘시대를 그리 +ㄴ '비트 키즈'(일본)와 시골에서도시로 이사하는 사진사 가족의 이야기' 사진은 웃어야 잘 나 오+ㄴ다'(이집트), 오누이의 가슴 아프+ㄴ 사연을 담았으며, 프랑스 앙시국제 애니메이션 축제에서 대상을 수상하+ㄴ '오세암'(한국), 실수와 우연으로 수상이 되+ㄴ사나이 '우리 수상 각하'(이집트)도 관객들을 기다리고 있다 .	O O O O O O O ORG-B O O O O O O O O O ORG-B O O O O O O O O O O O ORG-B O O O O O O ORG-B O O O O
▲제7회 정동진 독립영화제가 다음달 5-7일 강원도 강릉시 정동진의 정동초등학교에서 개최되 +ㄴ다 .	O LOC-B O O O LOC-B LOC-B LOC-B LOC-B O O O
이들 두 영화에는 각각 제작비의 절반가량이 +ㄴ 140만원과 50만원이 지원되며 완성되 +ㄴ 작품은 9월 8-14일 열리는 제2회 영화제에서 상영되 +ㄴ다 .	O O O O O O O MNY-B MNY-B MNY-I O O O O O O O O O O O
내용은 1970년대 중반을 배경으로 시골 작은 마을에서 자라 +ㄴ한 소년이 기차에서 어머니와 헤어지+어 서울에서 어리+ㄴ 여동생과 험난하+ㄴ 세상을 극복하+여나가는 이야기이며, 어린이들에게 미래에 대하+ㄴ꿈과 용기를 주는 교훈적 이+ㄴ이야기로 제작되+ㄹ 예정이다 .	O O O O O O O O O O O O O LOC-B O O O O O O O O O O O O O O O O
이 작품에는 룩셈부르크를 비롯하+ 여벨기에, 프랑스, 영국, 스페인 등 유럽의 애니메이션 전문가들이 대거 참여하였다 .	O O LOC-B O LOC-B LOC-B LOC-B LOC-B O LOC-B O O O O O
부천영화제의 대안적 성격을 띠+ㄴ이 영화제는 지난해 연말 부천영화제 조직위의 김홍준 집행위원장 해촉 이후 불거지+ㄴ대립으로 인하+여탄생하였다. 영화계의 지지를 등에 업은 김 위원장과 프로그래머, 스태프들은 2억원 가량의 적은 예산으로 영화제를 준비 하+여+오았고 부천영화제와 같은 기간에 영화제를 개최 하+ㄴ다 .	ORG-B O O O O O O ORG-B ORG-I PER-B MNY-I O O O O O O O O PER-B MNY-I O O MNY-B O O O O O O ORG-B O O O O O O
부천시의회는 지난달 중순 '영화제가 성공적으로 열리+어야 하+ㄴ다'는 내용의 결의문을 채택하기도 +였다 .	ORG-B O O O O O O O O O O O
거래소는 데 보러 G. 블랙의 논문에 근거하+여일 평균 거래량이 1천 계약 이상이+ㄴ 상품을 성공작으로 평가하고 있어 국내 선물. 옵션 상품들의 경우 69.3%가 실패작이+ㄴ 셈이다 .	O PER-B PER-I PER-I PER-I O O O O O O O O O O O O O O O O O O O O
수원지법 제3형사부(재판장 박상훈 부장판사)는 12일 대마초를 피우+ㄴ 혐의(마약류 관리에 관하+ㄴ 법률 위반)로 기소되+ㄴ영화배우 김부선(43.여.본명 김근희) 피고인에 대하+ㄴ 항소심에서 원심과 같이 징역 8월, 집행유예 2년에 추징금 2만3천원을 선고하였다 .	MNY-I MNY-I PER-B O MNY-B O O O O O O O O O PER-B O O O O O O O O MNY-B O MNY-B O O
또 영화제 조직위는 허우샤오시엔 감독를 비롯하+여태국 영화계를 이끌는 논지니 미부트르 감독과 지아장커 감독과 함께 작업을 하+여오+ㄴ 중국의 유릭 와이 촬영 감독, 한국영화아카데미 박기용 원장 등을 강사진으로 구성하였다 .	O O O PER-B O LOC-B ORG-I O PER-B O O PER-B O O O O LOC-B O O O O ORG-B PER-B PER-I O O O O
메가박스 홈페이지(www.megabox. co.kr)에 가입하+ㄴ 회원이면 누구나 참여하+ㄹ 수 있으며, 팝콘무한 정리필과 무료 주차 혜택도 있다 .	ORG-B O O O O O O O O O O O O O O O
SEK 측은 e-메일을 통하+여" 장편만화영화 '왕후심청'을 광복절 8.15를 계기로 영화관에서 상영하게 되+ㄴ다는 것을 알리+어드리+ㄴ다"며 "대사 녹음에도 가장 유명 하+ㄴ 배우들이 동원되+ㄴ다"고 설명하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O
행사 주최 측이 +ㄴ 한국문화콘텐츠진흥원(원장 서병문)은 13일 서울시 목동의 진흥원 회의실에서 위촉식을 갖고 두 사람을 홍보대사로 임명하였다 .	O O O O LOC-B PER-B O LOC-B LOC-B LOC-B LOC-I O O O O O O O
13일 부산영상위원회와 `태풍' 제작팀에 따르면 촬영팀은 이번 달 15일부터 17일까지 해운대 해수욕장 앞길 일부 구간에 대하+여 전면 통제를 요구하었지만 영상위는 관계기관과 협의 끝에 전국 최대 피서지 이+ㄴ점을 감안, 부분통제만 가능하다는 입장을 밝히었다 .	O ORG-B O O O O O O O O LOC-B LOC-I O O O O O O O ORG-B O O O O O O O O O O O O O
'옹박2' 토니자, 다음 달 내  .	O PER-B O O O O O
2003년 부산영화제 참석차 처음 방한한 토니자는 지난해 '옹박'의 국내 개봉에 맞추+어서 다시 한국을 찾은 바 있다 .	O O O O O PER-B O O O O O O LOC-B O O O O
지나+ㄴ 87년에 처음 발간 되+ㄴ 원작 소설은 한 아이가 어른으로 성장하는 모습을 근대사적 배경 속에서 인간적 이+ㄴ 시선으로 접근하+ 여 지금까지 '어른을 위하+ㄴ 동화'로 스테디셀러에 오르 아있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
'올드보이'의 박찬욱 감독이 한국국제협력단(KOICA)의 명예 해외 봉사단장이 +었다 .	O PER-B O ORG-B O O O O O
내년 모차르트 탄생 250주년을 맞아 이를 기념하는 장편영화 프로젝트가 기획 중이다 .	O PER-B O O O O O O O O O O
'안녕, 형아'의 박지빈이 다음달 하순에 열리는 제1회 고양국제어린이 영화제의 홍보대사로 위촉되었다 .	O O PER-B O O O O O O O O O
참가를 원하는 중.고교생은 오는 30일까지 수원 청소년문화센터 인터넷 방송국 홈페이지(www.suwonyouth.tv)를 통하+여 신청하면 되+ㄴ다 .	O O O O O O O O O O O O O O
부천영화제 사무국에 따르면 14일 오전 0시 현재 '천국의 전쟁'(멕시코), '크로마티 고교'(일본), '승리의 패스'(일본), '완전 무결'(스페인) 등 상영작 25편의 일반 좌석이 매진되었다 .	ORG-B ORG-I O O O O O O LOC-B O LOC-B O LOC-B O LOC-B O O O O O O O
20세기를 대표하는 영화음악의 거장엔 니오 모리코네(77)가 9월 서울에 오+ㄴ다 .	O O O O O O O LOC-B O O
공연에는 100여명의 합창단과 스웨덴 출신 소프라노 수산나리가 시, 피아니스트 길다부타가 함께 하+ㄴ다 .	O O O LOC-B O O PER-B O O PER-B O O O
올해로 9번째 이+ㄴ '부천국제판타스틱 영화제(PiFan)'가 14일 저녁 부천시민회관에서 화려하게 개막되었다 .	O O O O O O O LOC-B O O O
올해 부천영화제는 지난해 12월 말 전임 김홍준 영화제 집행위원장을 임기 중 해촉 하+ㄴ데 대하+ㄴ 반발로 일부 영화인들이 참가를 거부, 초기 어려움을 겪었으나 영화제 사무국의 노력과 부천시의 행정지원으로 국제행사의 면모를 갖추+어 이날 막을 올리게 +었다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O
버스 노선 등 자세 하+ㄴ 사항은 영화제 사무국 홈페이지(www.pifan.com)나 +의 '가이드' 코너를 들어가+아보면 되+ㄴ다 .	O O O O O O O O O O O O O O O
'웰컴투 동 막골'은 장진 감독의 동명의 연극을 바탕으로 하+ㄴ 작품.한국전쟁 당시 두메산 골 마을'동막골'을 무대로 이곳에 모이+ㄴ국군과 인민군, 유엔군이 빚어내는 이야기+이다. 강원도 평창에 대규모의 동막골 마을 세트를 제작하고 촬영하였다.신하균정재영 강혜정 임하룡 등이 주연을 맡았다 .	O O O PER-B O O O O O O O O O LOC-B O O ORG-B ORG-B ORG-B O O LOC-B LOC-B O LOC-B O O O PER-B PER-B PER-B O O O O
로버트로드리게즈(37) 감독은 극과 극을 오가+ㄴ다. 폭력과 어둠의 극단을 추구하다가 어느 순간 시치미 뚝 떼고 어린이를 위하+ㄴ 꿈의 동산을 만들어내기 때문이다. 물론 둘 다 풍부하+ㄴ 상상력의 소산이지만 그의 취향은 스티븐 스필버그의 그것과는 분명 다르다. 어른용이든 어린이용이든 악과 어둠에 대하+여서는 언제나 확실하게 표현하는 것.스필버그가 웬만하면 선의 세계에 주목하는 것과는 다르+ㄴ 것이다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B PER-B O O O O O O O O O O O PER-B O O O O O O O O
'스파이키드' 시리즈 3편을 잇따르 아성공시키며 아이들의 가렵 ㄴ 곳을 긁는데도 탁월하+ㄴ 능력을 보이+ㄴ 로드리게즈는 이 영화 역시 미국에서 개봉 5주째 이+ㄴ 지나 +ㄴ 10일까지 3천676만 6천260달러(약 380억원)를 벌어들이며 흥행 반열에 올리었다 .	O O MNY-B O O O O O O O O O O PER-B O O O LOC-B O O O O O O MNY-B MNY-I MNY-B O O O O O
싸움 당사자 이+ㄴ 황모(33)씨는 경찰 조사에서 "17일 새벽 2시께 친구들과 압구정동에서 생일파티를 끝내고 귀가하기 위하+ 여 택시를 잡으려던 중 30대로 보이는 남자들과 시비가 붙었는데 그 일행에 포함되 +ㄴ 정씨가 갑자기 나를 때리고 어디로 +이+ㄴ가가 +아버리+었다"고 주장하였다 .	O O O PER-B O O O O O O LOC-B O O O O O O O O O O O O O O O O O PER-B O O O O O O O O
'스캔들: 조선 남녀 상열지사'(이재용), '섬'(김기덕), '공동경비구 여규 JSA'(박찬욱), '달콤하+ㄴ 인생'(김지운) 등 이 상영되며 영화제에는 부산영화제의 김동호 집행위원장이 참석하+ㄹ 예정이다 .	O O O PER-B PER-B O O PER-B O PER-B O O O O O PER-B O O O O
"올해 보+ㄴ한국영화 중 최고+이다. .	O LOC-B O O O
올해는 특히 영화제 측이 개막작으로 홍콩의 쉬커(徐克) 감독의 '칠검'을 선정하였으며 미야자키 하야오 감독이 명예금 사자상을 수상하기로 하는 등 아시아 지역에 관심을 집중하고 있는 만큼 '…금자씨'의 초청은 가능성이 높을 것으로 보이+ㄴ다. 앞서 영화제 측은 홈페이지를 통하+여"서구에 열정을 전하+여주는 극동지역의 영화 만들기에 경의를 표하+ㄹ 것"이라고 공표하+ㄴ적도 있다 .	O O O O O LOC-B PER-B O O O PER-B PER-I O O O O O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
'흡혈형사나 도열'은 형사나 도열이 흡혈모기에 물리+ㄴ 후 성적으로 흥분하면 흡혈귀로 변신 하+ㄴ다는 코믹형 사극으로 오는 9월 초 크랭크 이+ㄴ 예정이다 .	O O O O O O O O O O O O O O O O O O O O O
팀 버튼 감독의 판타지 영화 '찰리와 초콜릿 공장'이 조니 뎁주연 영화 중 최고 개봉 기록을 세우었다 .	PER-B O O O O O O O PER-B PER-I O O O O O O O
'부기맨 .	O O
나름대로 번듯하+ㄴ 직장에 예쁘+ㄴ 여자친구(토리머셋)까지 있지만 어른이 되+ㄴ팀에게 부기 맨의 공포는 가슴 깊숙이 남아 있다. 옷장도, 벽장도 하나 없는 집안 인테리어는 유년의 악몽을 잊으려는 몸부림 같은 것이다 .	O O O O PER-B O O PER-B O O O O O O O O O O O O O O O O O O O O
브리지트 바르도가 주연하+ㄴ장뤽고 다르의 1963년 작영화 '경멸' 이 미국의 마틴 스코 세+하지 감독(62)에 의하+여빛(조명)과 컬러를 가장 훌륭하게 이용하+ㄴ영화 1위에 선정되었다 .	PER-B PER-I PER-B O O O O O LOC-B PER-B O O O O O PER-B O O O O O
이밖에 베스트 10에 들+ㄴ나머지 영화로는 베르나르도 베르톨루치의 '마지막 황제', 미켈란젤로 안토니오니의 '붉은 사막', 장르누아르의 '강', 페데리코펠리니의 '사티리콘', 루치노비스 콘티의 '세+ㄴ소'와 세르게이 파라자 노프의 '잊히+어지+ㄴ 조상의 그림자들'이 포함되었다 .	O O O O O PER-B PER-B O O PER-B PER-I O O PER-B O PER-B O PER-B O O PER-B O O O O O O O
경기도 과천시는 18일 통기타와 영화의 만남을 주제로 하+ㄴ`2005과천열대야 페스티벌'을 오는 8월 6일부터 16일까지 과천시민회관 특설 야외무대에서 개최 하+ㄴ다고 밝히었다 .	ORG-B LOC-B O O O O O LOC-B O O O O O LOC-B LOC-I LOC-I O O O O
'마다가스카'는 16-17일 서울 70개 스크린에서 14만5천명을 모으았다 .	O O LOC-B O O O O O
서울대비 지방 관객수가 5배가량 많은 것이 특징이다 .	LOC-B O O O O O O O
17일까지 전국 관객 누계는 121만6천593명(182개 스크린) .	O O O O O O O
서울환경영화제 박진형 프로그래머는 "환경에 대하+ㄴ 관심과 진지하+ㄴ 사고가 돋보이는 창의적 작품을 기준으로 선정하였다"고 밝히었다 .	ORG-B PER-B O O O O O O O O O O O O O
아시아 지역의 점유율 상승은 일본에서의 강세가 주요 이유+이다. 올해 일본에 판매되+ㄴ한국영화는 모두 36편으로 편당 수출가는 지난해보다 23만9천 달러(약 2억5천만원, 38%)가 증가하였다. 일본 지역 편당 수출가는 한국영화 편당 가격의 3배에 달하+ㄹ 정도로 높았다 .	LOC-B O O O LOC-B O O O O LOC-B LOC-B O O O O O MNY-B MNY-I MNY-B O O LOC-B O O O LOC-B O O O O O O O
2.콘스탄틴(액션ㆍ 프란시스 로렌스 .	O PER-B PER-I O
9.호스티지(액션ㆍ플로렌에밀리오 시리 .	PER-B PER-I O
정씨는 "경찰 조사가 우선이므로 조사 후 입장을 밝히겠다"고 말 하+ㄴ 뒤 경찰 조사에 응하였다 .	PER-B O O O O O O O O O O O O O O
길손이가 국립민속박물관에 오게 되면서 겪는 에피소드들을 통하+여박물관 관람 예절을 깨닫는 과정이 5분가량 2D 애니메이션으로 그리+어지+ㄴ다 .	PER-B LOC-B O O O O O O O O O O O O O O
지역주민의 정서함양과 영화. 영상에 대하+ㄴ이해를 돕기 위 하+여 마련 하+ㄴ이 행사에서 상영하는 영화는 '말아톤', '인어공주', '취화선' 등 3편이며, 상영시간은 오후 7∼10시 +이다 .	O O O O O O O O O O O O O O O O O O O O O O O
